fid,field_1,Long,Lat,SAMPLE_1
"247","247",-122.2253507,41.3836275,204960.734375
"248","248",-122.2388461,41.40737114,203712.21875
"249","249",-120.419992,53.95441621,699116.125
"250","250",-120.4214783,53.91436093,692986.375
"251","251",-120.5221241,53.93381291,688487.5
"252","252",-117.8381807,51.63806663,561247.25
"253","253",-119.7331433,52.86787572,616997.6875
"254","254",-119.6571476,52.8478213,617893.0625
"255","255",-119.7846026,52.83264912,608519.25
"256","256",-119.8572185,52.80013726,599017.4375
"257","257",-120.916714,47.48424557,142655.984375
"258","258",-120.9017819,47.46511191,144545.546875
"259","259",-120.8896668,47.46698565,146400.421875
"260","260",-123.7209696,51.39034354,101887.65625
"261","261",-123.8674338,51.41284039,94891.953125
"262","262",-123.8368872,51.40382225,95822.53125
"263","263",-123.8858635,51.39595138,91389.3125
"264","264",-123.859988,51.34742807,85894.734375
"265","265",-123.9458702,51.3251643,76711.2109375
"266","266",-124.0202078,51.37724207,79951.6015625
"267","267",-116.2057882,51.35173162,674974.0625
"268","268",-116.1953755,51.35698869,676525
"269","269",-116.2176169,51.35869032,674125.5625
"270","270",-125.0992513,51.38112566,30984.244140625
"271","271",-125.2489907,51.28009641,29398.361328125
"272","272",-125.5337002,51.35689883,50456.10546875
"273","273",-71.29563033,44.25532941,142357.109375
"274","274",-71.2923306,44.26679376,143122.625
"275","275",-71.30878022,44.26118867,144619
